sample;ploidy;run1;run2;run3;run4;run5;average;recommended_ploidy;bayes_factor_between_1stand2nd;evidence
n_SMB5_141;3;-8083.875;-8095.389;-999999.99;-999999.99;-999999.99;-8089.632;3;23.355;Strong
n_SMB7_059;2;-8262.726;-8112.275;-8121.782;-8339.906;-8088.605;-8165.594;4;2735.726;Very_strong
n_SMB7_059;4;-8131.1;-8158.504;0;-999999.99;-999999.99;-5429.868;4;2735.726;Very_strong
n_SPA2_169;2;-8106.437;-999999.99;-8175.709;-8063.3;0;-8141.073;2;1.574;Not_worth_more_than_a_bare_mention
n_SPA2_169;4;-8111.169;-8103.661;-8213.11;-8061.285;-8063.307;-8142.647;2;1.574;Not_worth_more_than_a_bare_mention
n_SPA6_170;3;-8190.529;-8060.428;-8098.623;-8212.414;-8056.414;-8116.527;3;0.935;Barely_worth_mentioning
n_SPA6_170;4;-8214.678;-8079.539;-8058.169;-8065.145;-8189.537;-8117.462;3;0.935;Barely_worth_mentioning
n_SPSK2_171;3;-8127.191;-8287.981;-8146.694;-8147.91;-8142.831;-8187.289;3;5.805;Positive
n_SPSK2_171;4;-8241.355;-8158.556;-8179.371;-8226.48;-999999.99;-8193.094;3;5.805;Positive
n_SPSK7_173;4;-8187.017;-999999.99;-999999.99;-8224.79;-8290.635;-8187.017;4;NA;Cannot_compare
n_SVO2_135;3;-8183.387;-8070.137;-999999.99;-999999.99;-999999.99;-8126.762;3;NA;Cannot_compare
n_SWS10_066;3;-8078.669;-8209.38;-8081.713;-8096.829;-8127.533;-8123.254;4;13.065;Positive
n_SWS10_066;4;-8154.313;-8076.882;-8099.373;-8087.214;-8197.363;-8110.189;4;13.065;Positive
n_SWS1_065;4;-8205.1;-8193.419;-8112.454;-8451.055;-8143.497;-8170.324;4;NA;Cannot_compare
n_SWS7_144;2;-8079.464;-8130.591;-8049.863;-8046.244;-8050.336;-8086.639;3;11.007;Positive
n_SWS7_144;3;-8045.475;-8059.471;-8121.95;-8047.56;-8046.229;-8075.632;3;11.007;Positive
n_SWS7_144;4;-8161.093;-8242.537;-8095.574;-8094.376;-8185.564;-8166.401;3;11.007;Positive
n_THKH1_076;2;-8086.222;-999999.99;-999999.99;-8278.773;-8123.32;-8086.222;2;74.703;Strong
n_THKH1_076;3;-8142.314;-8195.839;-999999.99;-999999.99;Error:Couldnotfindfile"output/stepping_stone_n_THKH1_076_3.out";-8169.077;2;74.703;Strong
n_THKH1_076;4;-8121.645;-8239.246;-8121.883;-8097.932;-999999.99;-8160.925;2;74.703;Strong
n_TNB2_062;3;-8069.413;Error:Couldnotfindfile"output/stepping_stone_n_TNB2_062_3.out";-999999.99;-999999.99;-8115.731;-8069.413;4;4.988;Positive
n_TNB2_062;4;-8061.306;-8033.731;-8098.237;-8250.319;-8221.693;-8064.425;4;4.988;Positive
n_TNB6_143;2;-8045.425;-8042.315;-8093.694;-8083.204;-8129.021;-8060.478;2;24.147;Strong
n_TNB6_143;3;-8065.864;-8079.454;-8108.557;-8109.072;-8169.09;-8084.625;2;24.147;Strong
n_TNB6_143;4;-8051.612;-8086.259;-8126.822;-8152.8;-8216.663;-8088.231;2;24.147;Strong
